   ,  ,CO_CURSO,NO_CURSO,GRAU_ACADEMICO,NO_NIVEL,NO_LOCAL_OFERTA,TOTALALUNOS,VAGAST,MATT,CONCLT,INGR,MATTRANC,MATDESVINCULADA,MATTRANSFERIDO,MATFALECIDO
2017,Capital,23977,ARTES CÊNICAS COM HABILITAÇÃO EM DIREÇÃO TEATRAL,Bacharelado,Graduação Presencial,PRAIA VERMELHA,97,15,66,11,15,18,13,0,0
2018,Capital,23977,ARTES CÊNICAS - DIREÇÃO TEATRAL,Bacharelado,Graduação Presencial,PRAIA VERMELHA,93,23,57,11,18,19,17,0,0
2014,Capital,25835,COMUNICAÇÃO SOCIAL - JORNALISMO,Bacharelado,Graduação Presencial,PRAIA VERMELHA,351,561,323,98,346,10,16,2,0
2015,Capital,25835,COMUNICAÇÃO SOCIAL - JORNALISMO,Bacharelado,Graduação Presencial,PRAIA VERMELHA,343,0,310,85,1,27,4,2,0
2016,Capital,25835,COMUNICAÇÃO SOCIAL - JORNALISMO,Bacharelado,Graduação Presencial,PRAIA VERMELHA,351,1,307,69,0,35,5,4,0
2017,Capital,25835,JORNALISMO,Bacharelado,Graduação Presencial,PRAIA VERMELHA,375,1,336,87,0,28,8,3,0
2018,Capital,25835,JORNALISMO,Bacharelado,Graduação Presencial,PRAIA VERMELHA,379,0,329,81,0,36,11,3,0
2014,Capital,31956,COMUNICAÇÃO SOCIAL - PRODUÇÃO EDITORIAL,Bacharelado,Graduação Presencial,PRAIA VERMELHA,98,164,80,17,95,11,7,0,0
2015,Capital,31956,COMUNICAÇÃO SOCIAL - PRODUÇÃO EDITORIAL,Bacharelado,Graduação Presencial,PRAIA VERMELHA,106,22,84,13,2,15,6,1,0
2016,Capital,31956,COMUNICAÇÃO SOCIAL - PRODUÇÃO EDITORIAL,Bacharelado,Graduação Presencial,PRAIA VERMELHA,100,3,79,19,2,14,7,0,0
2017,Capital,31956,COMUNICAÇÃO SOCIAL - PRODUÇÃO EDITORIAL,Bacharelado,Graduação Presencial,PRAIA VERMELHA,101,23,82,21,12,15,2,2,0
2018,Capital,31956,COMUNICAÇÃO SOCIAL - PRODUÇÃO EDITORIAL,Bacharelado,Graduação Presencial,PRAIA VERMELHA,92,0,70,21,0,13,7,2,0
2014,Capital,31960,COMUNICAÇÃO SOCIAL  - RADIALISMO,Bacharelado,Graduação Presencial,PRAIA VERMELHA,225,371,193,41,219,17,15,0,0
2015,Capital,31960,COMUNICAÇÃO SOCIAL  - RADIALISMO,Bacharelado,Graduação Presencial,PRAIA VERMELHA,226,6,184,31,1,32,6,4,0
2016,Capital,31960,COMUNICAÇÃO SOCIAL  - RADIALISMO,Bacharelado,Graduação Presencial,PRAIA VERMELHA,236,1,175,35,0,47,10,4,0
2017,Capital,31960,COMUNICAÇÃO SOCIAL  - RADIALISMO,Bacharelado,Graduação Presencial,PRAIA VERMELHA,230,0,179,33,0,39,9,3,0
2018,Capital,31960,COMUNICAÇÃO SOCIAL  - RADIALISMO,Bacharelado,Graduação Presencial,PRAIA VERMELHA,236,1,183,34,0,37,13,3,0
2014,Capital,35557,ARTES CÊNICAS COM HABILITAÇÃO EM INDUMENTÁRIA,Bacharelado,Graduação Presencial,Cidade Universitária,145,37,124,15,35,11,9,1,0
2015,Capital,35557,ARTES CÊNICAS COM HABILITAÇÃO EM INDUMENTÁRIA,Bacharelado,Graduação Presencial,Cidade Universitária,152,34,120,21,30,17,12,3,0
2016,Capital,35557,ARTES CÊNICAS COM HABILITAÇÃO EM INDUMENTÁRIA,Bacharelado,Graduação Presencial,Cidade Universitária,144,30,100,12,27,33,11,0,0
2017,Capital,35557,ARTES CÊNICAS COM HABILITAÇÃO EM INDUMENTÁRIA,Bacharelado,Graduação Presencial,Cidade Universitária,148,26,104,9,26,32,12,0,0
2018,Capital,35557,ARTES CÊNICAS - INDUMENTÁRIA,Bacharelado,Graduação Presencial,Cidade Universitária,155,32,124,19,27,20,11,0,0
2014,Capital,107716,HISTÓRIA,Bacharelado,Graduação Presencial,LARGO SÃO FRANCISCO,1.009,198,466,91,155,53,100,390,0
2015,Capital,107716,HISTÓRIA,Bacharelado,Graduação Presencial,LARGO SÃO FRANCISCO,529,67,382,102,67,97,33,17,0
2016,Capital,107716,HISTÓRIA,Bacharelado,Graduação Presencial,LARGO SÃO FRANCISCO,679,286,452,92,286,157,70,0,0
2017,Capital,107716,HISTÓRIA,Bacharelado,Graduação Presencial,LARGO SÃO FRANCISCO,886,26,686,91,10,105,95,0,0
2018,Capital,107716,HISTÓRIA,Bacharelado,Graduação Presencial,LARGO SÃO FRANCISCO,782,25,581,101,15,85,114,2,0
2014,Capital,107717,HISTÓRIA,Licenciatura,Graduação Presencial,LARGO SÃO FRANCISCO,41,22,19,12,18,10,12,0,0
2015,Capital,107717,HISTÓRIA,Licenciatura,Graduação Presencial,LARGO SÃO FRANCISCO,32,12,16,11,11,10,6,0,0
2016,Capital,107717,HISTÓRIA,Licenciatura,Graduação Presencial,LARGO SÃO FRANCISCO,45,13,22,10,13,12,11,0,0
2017,Capital,107717,HISTÓRIA,Licenciatura,Graduação Presencial,PRAIA VERMELHA,32,2,20,9,1,5,6,1,0
2018,Capital,107717,HISTÓRIA,Licenciatura,Graduação Presencial,PRAIA VERMELHA,33,6,15,11,6,11,7,0,0
2014,Capital,110916,PSICOLOGIA,Licenciatura,Graduação Presencial,PRAIA VERMELHA,12,0,9,8,0,1,2,0,0
2015,Capital,110916,PSICOLOGIA,Licenciatura,Graduação Presencial,PRAIA VERMELHA,3,0,0,0,0,1,0,2,0
2016,Capital,110916,PSICOLOGIA,Licenciatura,Graduação Presencial,PRAIA VERMELHA,1,0,1,1,0,0,0,0,0
2014,Capital,314346,FILOSOFIA,Bacharelado,Graduação Presencial,LARGO SÃO FRANCISCO,231,13,165,41,11,29,34,3,0
2015,Capital,314346,FILOSOFIA,Bacharelado,Graduação Presencial,LARGO SÃO FRANCISCO,186,22,114,32,7,49,22,1,0
2016,Capital,314346,FILOSOFIA,Bacharelado,Graduação Presencial,LARGO SÃO FRANCISCO,159,5,106,23,5,29,23,1,0
2017,Capital,314346,FILOSOFIA,Bacharelado,Graduação Presencial,LARGO SÃO FRANCISCO,139,10,93,24,2,28,17,1,0
2018,Capital,314346,FILOSOFIA,Bacharelado,Graduação Presencial,LARGO SÃO FRANCISCO,130,16,93,19,9,25,11,1,0
2014,Capital,314347,HISTÓRIA,Licenciatura,Graduação Presencial,LARGO SÃO FRANCISCO,26,9,14,7,9,7,5,0,0
2015,Capital,314347,HISTÓRIA,Licenciatura,Graduação Presencial,LARGO SÃO FRANCISCO,20,5,8,3,5,7,4,1,0
2014,Capital,314348,CIÊNCIAS SOCIAIS,Bacharelado,Graduação Presencial,LARGO SÃO FRANCISCO,569,152,415,70,139,65,79,10,0
2015,Capital,314348,CIÊNCIAS SOCIAIS,Bacharelado,Graduação Presencial,LARGO SÃO FRANCISCO,546,149,370,52,127,120,54,1,1
2016,Capital,314348,CIÊNCIAS SOCIAIS,Bacharelado,Graduação Presencial,LARGO SÃO FRANCISCO,568,140,388,55,126,102,73,5,0
2017,Capital,314348,CIÊNCIAS SOCIAIS,Bacharelado,Graduação Presencial,LARGO SÃO FRANCISCO,582,178,407,55,132,102,70,3,0
2018,Capital,314348,CIÊNCIAS SOCIAIS,Bacharelado,Graduação Presencial,LARGO SÃO FRANCISCO,593,180,417,51,132,96,74,6,0
