   ,  ,CO_CURSO,NO_CURSO,GRAU_ACADEMICO,NO_NIVEL,NO_LOCAL_OFERTA,TOTALALUNOS,VAGAST,MATT,CONCLT,INGR,MATTRANC,MATDESVINCULADA,MATTRANSFERIDO,MATFALECIDO
2018,Capital,1442964,CIÊNCIAS CONTÁBEIS,Bacharelado,Graduação a Distância,CONSÓRCIO CEDERJ - ITAOCARA,37,0,35,0,37,0,2,0,0
2018,Capital,1442964,CIÊNCIAS CONTÁBEIS,Bacharelado,Graduação a Distância,CONSÓRCIO CEDERJ - RESENDE - CAMPUS DA UERJ,50,0,49,0,50,0,1,0,0
2014,Capital,116840,RELAÇÕES INTERNACIONAIS,Bacharelado,Graduação Presencial,Cidade Universitária,636,161,564,44,143,39,29,4,0
2015,Capital,116840,RELAÇÕES INTERNACIONAIS,Bacharelado,Graduação Presencial,Cidade Universitária,694,135,595,76,131,64,35,0,0
2016,Capital,116840,RELAÇÕES INTERNACIONAIS,Bacharelado,Graduação Presencial,Cidade Universitária,708,131,585,65,123,85,37,1,0
2017,Capital,116840,RELAÇÕES INTERNACIONAIS,Bacharelado,Graduação Presencial,Cidade Universitária,735,145,618,93,127,75,41,1,0
2018,Capital,116840,RELAÇÕES INTERNACIONAIS,Bacharelado,Graduação Presencial,PRAIA VERMELHA,742,157,617,99,141,61,59,5,0
2014,Capital,1114299,DEFESA E GESTÃO ESTRATÉGICA INTERNACIONAL,Bacharelado,Graduação Presencial,Cidade Universitária,497,159,393,22,125,50,50,4,0
2015,Capital,1114299,DEFESA E GESTÃO ESTRATÉGICA INTERNACIONAL,Bacharelado,Graduação Presencial,Cidade Universitária,546,144,392,29,121,95,59,0,0
2016,Capital,1114299,DEFESA E GESTÃO ESTRATÉGICA INTERNACIONAL,Bacharelado,Graduação Presencial,Cidade Universitária,579,141,401,51,120,114,63,1,0
2017,Capital,1114299,DEFESA E GESTÃO ESTRATÉGICA INTERNACIONAL,Bacharelado,Graduação Presencial,Cidade Universitária,589,147,440,70,121,92,54,3,0
2018,Capital,1114299,DEFESA E GESTÃO ESTRATÉGICA INTERNACIONAL,Bacharelado,Graduação Presencial,Cidade Universitária,592,164,445,39,124,89,53,5,0
2014,Capital,1114296,GESTÃO PÚBLICA PARA O DESENVOLVIMENTO ECONÔMICO E SOCIAL,Bacharelado,Graduação Presencial,Cidade Universitária,422,144,337,12,110,40,40,5,0
2015,Capital,1114296,GESTÃO PÚBLICA PARA O DESENVOLVIMENTO ECONÔMICO E SOCIAL,Bacharelado,Graduação Presencial,Cidade Universitária,485,124,348,54,100,102,31,4,0
2016,Capital,1114296,GESTÃO PÚBLICA PARA O DESENVOLVIMENTO ECONÔMICO E SOCIAL,Bacharelado,Graduação Presencial,Cidade Universitária,533,111,344,81,101,141,44,4,0
2017,Capital,1114296,GESTÃO PÚBLICA PARA O DESENVOLVIMENTO ECONÔMICO E SOCIAL,Bacharelado,Graduação Presencial,Cidade Universitária,549,120,390,103,99,83,76,0,0
2018,Capital,1114296,GESTÃO PÚBLICA PARA O DESENVOLVIMENTO ECONÔMICO E SOCIAL,Bacharelado,Graduação Presencial,Cidade Universitária,511,159,369,98,99,66,73,3,0
