CO_ANO,LOCALIES,CO_CURSO,NO_CURSO,GRAU_ACADEMICO,NO_NIVEL,NO_LOCAL_OFERTA,TOTALALUNOS,VAGAST,MATT,CONCLT,INGR,MATTRANC,MATDESVINCULADA,MATTRANSFERIDO,MATFALECIDO
2016,Capital,1180207,CIÊNCIAS BIOLÓGICAS,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,129,46,95,1,38,10,9,15,0
2017,Capital,1180207,CIÊNCIAS BIOLÓGICAS,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,147,60,125,2,41,9,10,3,0
2018,Capital,1180207,CIÊNCIAS BIOLÓGICAS,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,173,58,151,5,40,10,11,1,0
2015,Capital,5001281,ENGENHARIA DE PRODUÇÃO,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,2,0,2,2,0,0,0,0,0
2016,Capital,5001281,ENGENHARIA DE PRODUÇÃO,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,5,0,5,2,0,0,0,0,0
2017,Capital,5001281,ENGENHARIA DE PRODUÇÃO,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,14,0,13,4,0,1,0,0,0
2018,Capital,5001281,ENGENHARIA DE PRODUÇÃO,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,14,0,13,5,0,1,0,0,0
2015,Capital,5001282,ENGENHARIA MECÂNICA,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,5,0,5,5,0,0,0,0,0
2016,Capital,5001282,ENGENHARIA MECÂNICA,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,26,0,24,10,0,2,0,0,0
2017,Capital,5001282,ENGENHARIA MECÂNICA,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,63,0,61,13,0,2,0,0,0
2018,Capital,5001282,ENGENHARIA MECÂNICA,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,58,0,56,26,0,1,1,0,0
2015,Capital,5001283,ENGENHARIA CIVIL,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,5,0,5,5,0,0,0,0,0
2016,Capital,5001283,ENGENHARIA CIVIL,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,11,0,11,5,0,0,0,0,0
2017,Capital,5001283,ENGENHARIA CIVIL,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,38,0,36,11,1,2,0,0,0
2018,Capital,5001283,ENGENHARIA CIVIL,Bacharelado,Graduação Presencial,Campus UFRJ - Macaé,55,0,53,15,0,2,0,0,0
