CO_ANO,LOCALIES,CO_CURSO,NO_CURSO,GRAU_ACADEMICO,NO_NIVEL,NO_LOCAL_OFERTA,TOTALALUNOS,VAGAST,MATT,CONCLT,INGR,MATTRANC,MATDESVINCULADA,MATTRANSFERIDO,MATFALECIDO
2014,Capital,1114290,NANOTECNOLOGIA,Bacharelado,Graduação Presencial,Cidade Universitária,114,46,83,16,35,8,19,4,0
2015,Capital,1114290,NANOTECNOLOGIA,Bacharelado,Graduação Presencial,Cidade Universitária,122,33,101,25,33,6,12,3,0
2016,Capital,1114290,NANOTECNOLOGIA,Bacharelado,Graduação Presencial,Cidade Universitária,131,35,96,23,33,18,16,1,0
2017,Capital,1114290,NANOTECNOLOGIA,Bacharelado,Graduação Presencial,Cidade Universitária,142,42,106,18,34,20,12,4,0
2018,Capital,1114290,NANOTECNOLOGIA,Bacharelado,Graduação Presencial,Cidade Universitária,150,42,110,18,34,20,18,2,0
