   ,  ,CO_CURSO,NO_CURSO,GRAU_ACADEMICO,NO_NIVEL,NO_LOCAL_OFERTA,TOTALALUNOS,VAGAST,MATT,CONCLT,INGR,MATTRANC,MATDESVINCULADA,MATTRANSFERIDO,MATFALECIDO
2017,Capital,14379,QUÍMICA INDUSTRIAL,Bacharelado,Graduação Presencial,Cidade Universitária,425,120,293,24,85,55,72,5,0
2018,Capital,14379,QUÍMICA INDUSTRIAL,Bacharelado,Graduação Presencial,Cidade Universitária,410,169,287,25,86,46,64,13,0
2014,Capital,83486,ENGENHARIA AMBIENTAL,Bacharelado,Graduação Presencial,Cidade Universitária,243,48,213,30,47,5,22,3,0
2015,Capital,83486,ENGENHARIA AMBIENTAL,Bacharelado,Graduação Presencial,Cidade Universitária,233,45,200,25,42,11,19,3,0
2016,Capital,83486,ENGENHARIA AMBIENTAL,Bacharelado,Graduação Presencial,Cidade Universitária,232,50,202,23,46,23,7,0,0
2017,Capital,83486,ENGENHARIA AMBIENTAL,Bacharelado,Graduação Presencial,Cidade Universitária,245,43,210,26,41,19,15,1,0
2018,Capital,83486,ENGENHARIA AMBIENTAL,Bacharelado,Graduação Presencial,Cidade Universitária,250,54,203,24,47,25,21,1,0
2014,Capital,83904,ENGENHARIA DE COMPUTAÇÃO E INFORMAÇÃO,Bacharelado,Graduação Presencial,Cidade Universitária,185,30,153,20,32,12,20,0,0
2015,Capital,83904,ENGENHARIA DE COMPUTAÇÃO E INFORMAÇÃO,Bacharelado,Graduação Presencial,Cidade Universitária,180,27,151,12,28,21,8,0,0
2016,Capital,83904,ENGENHARIA DE COMPUTAÇÃO E INFORMAÇÃO,Bacharelado,Graduação Presencial,Cidade Universitária,187,25,147,13,26,31,7,2,0
2017,Capital,83904,ENGENHARIA DE COMPUTAÇÃO E INFORMAÇÃO,Bacharelado,Graduação Presencial,Cidade Universitária,191,26,147,20,24,25,18,1,0
2018,Capital,83904,ENGENHARIA DE COMPUTAÇÃO E INFORMAÇÃO,Bacharelado,Graduação Presencial,Cidade Universitária,202,46,150,17,45,25,26,1,0
2014,Capital,83906,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Bacharelado,Graduação Presencial,Cidade Universitária,162,29,136,17,29,5,20,1,0
2015,Capital,83906,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Bacharelado,Graduação Presencial,Cidade Universitária,159,31,142,15,27,10,7,0,0
2016,Capital,83906,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Bacharelado,Graduação Presencial,Cidade Universitária,163,28,123,25,26,25,13,2,0
2017,Capital,83906,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Bacharelado,Graduação Presencial,Cidade Universitária,152,30,121,15,27,19,11,1,0
2018,Capital,83906,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Bacharelado,Graduação Presencial,Cidade Universitária,164,51,129,8,39,17,17,1,0
2014,Capital,83908,ENGENHARIA DE PETRÓLEO,Bacharelado,Graduação Presencial,Cidade Universitária,204,44,177,13,45,9,17,1,0
2015,Capital,83908,ENGENHARIA DE PETRÓLEO,Bacharelado,Graduação Presencial,Cidade Universitária,213,33,185,20,33,15,13,0,0
2016,Capital,83908,ENGENHARIA DE PETRÓLEO,Bacharelado,Graduação Presencial,Cidade Universitária,211,35,165,22,31,29,14,3,0
2017,Capital,83908,ENGENHARIA DE PETRÓLEO,Bacharelado,Graduação Presencial,Cidade Universitária,206,36,156,23,33,21,28,1,0
2018,Capital,83908,ENGENHARIA DE PETRÓLEO,Bacharelado,Graduação Presencial,Cidade Universitária,189,55,146,22,36,25,17,1,0
2014,Capital,83910,ENGENHARIA DE ALIMENTOS,Bacharelado,Graduação Presencial,Cidade Universitária,196,72,160,12,43,7,26,3,0
2015,Capital,83910,ENGENHARIA DE ALIMENTOS,Bacharelado,Graduação Presencial,Cidade Universitária,198,52,159,18,42,12,26,1,0
2016,Capital,83910,ENGENHARIA DE ALIMENTOS,Bacharelado,Graduação Presencial,Cidade Universitária,196,46,146,12,41,29,21,0,0
2017,Capital,83910,ENGENHARIA DE ALIMENTOS,Bacharelado,Graduação Presencial,Cidade Universitária,207,63,161,11,41,24,20,2,0
2018,Capital,83910,ENGENHARIA DE ALIMENTOS,Bacharelado,Graduação Presencial,Cidade Universitária,214,57,150,16,40,19,39,6,0
2014,Capital,83936,ENGENHARIA DE BIOPROCESSOS,Bacharelado,Graduação Presencial,Cidade Universitária,218,56,184,13,44,8,25,1,0
2015,Capital,83936,ENGENHARIA DE BIOPROCESSOS,Bacharelado,Graduação Presencial,Cidade Universitária,225,47,165,15,40,17,39,4,0
2016,Capital,83936,ENGENHARIA DE BIOPROCESSOS,Bacharelado,Graduação Presencial,Cidade Universitária,205,53,153,21,38,40,10,2,0
2017,Capital,83936,ENGENHARIA DE BIOPROCESSOS,Bacharelado,Graduação Presencial,Cidade Universitária,214,55,158,18,40,29,23,4,0
2018,Capital,83936,ENGENHARIA DE BIOPROCESSOS,Bacharelado,Graduação Presencial,Cidade Universitária,211,60,154,20,41,22,29,6,0
2014,Capital,85825,ENGENHARIA ELETRÔNICA E DE COMPUTAÇÃO,Bacharelado,Graduação Presencial,Cidade Universitária,565,117,469,43,103,28,60,8,0
2015,Capital,85825,ENGENHARIA ELETRÔNICA E DE COMPUTAÇÃO,Bacharelado,Graduação Presencial,Cidade Universitária,570,109,467,39,98,51,46,6,0
2016,Capital,85825,ENGENHARIA ELETRÔNICA E DE COMPUTAÇÃO,Bacharelado,Graduação Presencial,Cidade Universitária,578,96,424,63,93,103,44,7,0
2017,Capital,85825,ENGENHARIA ELETRÔNICA E DE COMPUTAÇÃO,Bacharelado,Graduação Presencial,Cidade Universitária,570,109,452,34,103,67,50,1,0
2018,Capital,85825,ENGENHARIA ELETRÔNICA E DE COMPUTAÇÃO,Bacharelado,Graduação Presencial,Cidade Universitária,591,126,450,38,104,73,58,10,0
2014,Capital,1114293,ENGENHARIA NUCLEAR,Bacharelado,Graduação Presencial,Cidade Universitária,110,36,93,8,32,9,8,0,0
2015,Capital,1114293,ENGENHARIA NUCLEAR,Bacharelado,Graduação Presencial,Cidade Universitária,124,34,103,3,30,7,12,2,0
2016,Capital,1114293,ENGENHARIA NUCLEAR,Bacharelado,Graduação Presencial,Cidade Universitária,139,32,108,9,31,20,9,2,0
2017,Capital,1114293,ENGENHARIA NUCLEAR,Bacharelado,Graduação Presencial,Cidade Universitária,153,35,114,8,33,19,13,7,0
2018,Capital,1114293,ENGENHARIA NUCLEAR,Bacharelado,Graduação Presencial,Cidade Universitária,156,49,112,9,32,24,15,5,0
