ano,periodoOuMes,Centro,Faculdade/ Escola,curso,nivel,QTD
1972,Dez,,,Engenharia de Produção,Mestrado,2
1972,Dez,,,Engenharia de Transportes,Mestrado,1
1972,Dez,,,Engenharia Química,Mestrado,1
1972,Fev,,,Engenharia Mecânica,Mestrado,1
1972,Fev,,,Engenharia Metalúrgica e de Materiais,Doutorado,1
1972,Fev,,,Engenharia Química,Mestrado,1
1972,Jan,,,Engenharia Civil,Mestrado,2
1972,Jan,,,Engenharia de Sistemas e Computação,Doutorado,1
1972,Jan,,,Engenharia de Sistemas e Computação,Mestrado,1
1972,Jan,,,Engenharia Elétrica,Mestrado,1
1972,Jan,,,Engenharia Mecânica,Mestrado,1
1972,Jan,,,Engenharia Metalúrgica e de Materiais,Mestrado,4
1972,Jan,,,Engenharia Química,Doutorado,1
1972,Jan,,,Engenharia Química,Mestrado,1
1972,Jul,,,Engenharia Mecânica,Mestrado,1
1972,Jul,,,Engenharia Metalúrgica e de Materiais,Mestrado,1
1972,Jul,,,Engenharia Química,Doutorado,1
1972,Jun,,,Engenharia Civil,Doutorado,1
1972,Jun,,,Engenharia Civil,Mestrado,1
1972,Jun,,,Engenharia Metalúrgica e de Materiais,Mestrado,1
1972,Jun,,,Engenharia Química,Doutorado,2
1972,Mai,,,Engenharia de Produção,Mestrado,1
1972,Mar,,,Engenharia Civil,Doutorado,1
1972,Mar,,,Engenharia de Produção,Mestrado,1
1972,Mar,,,Engenharia Mecânica,Mestrado,1
1972,Mar,,,Engenharia Metalúrgica e de Materiais,Mestrado,1
1972,Mar,,,Engenharia Nuclear,Mestrado,1
1972,Mar,,,Engenharia Química,Mestrado,2
1972,Nov,,,Engenharia Civil,Doutorado,1
1972,Nov,,,Engenharia Civil,Mestrado,1
1972,Nov,,,Engenharia de Produção,Mestrado,1
1972,Nov,,,Engenharia de Sistemas e Computação,Doutorado,1
1972,Nov,,,Engenharia Mecânica,Mestrado,1
1972,Nov,,,Engenharia Metalúrgica e de Materiais,Mestrado,1
1972,Nov,,,Engenharia Nuclear,Mestrado,4
1972,Nov,,,Engenharia Química,Mestrado,2
1972,Out,,,Engenharia Civil,Mestrado,3
1972,Out,,,Engenharia de Produção,Mestrado,1
1972,Out,,,Engenharia de Sistemas e Computação,Doutorado,1
1972,Out,,,Engenharia Elétrica,Mestrado,1
1972,Out,,,Engenharia Química,Doutorado,1
1972,Set,,,Engenharia de Produção,Doutorado,1
1972,Set,,,Engenharia de Sistemas e Computação,Mestrado,3
1972,Set,,,Engenharia Elétrica,Mestrado,1
1972,Set,,,Engenharia Mecânica,Mestrado,1
1972,Set,,,Engenharia Química,Mestrado,2
1976,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,18
1976,3,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,2
1977,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,61
1977,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,77
1977,3,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,52
1973,Abr,,,Engenharia Civil,Mestrado,1
1973,Abr,,,Engenharia de Sistemas e Computação,Mestrado,1
1973,Abr,,,Engenharia Nuclear,Mestrado,2
1973,Abr,,,Engenharia Química,Doutorado,1
1973,Abr,,,Engenharia Química,Mestrado,1
1973,Ago,,,Engenharia de Produção,Doutorado,1
1973,Ago,,,Engenharia de Produção,Mestrado,1
1973,Ago,,,Engenharia Elétrica,Mestrado,1
1973,Ago,,,Engenharia Mecânica,Doutorado,1
1973,Ago,,,Engenharia Mecânica,Mestrado,1
1973,Ago,,,Engenharia Nuclear,Mestrado,1
1973,Dez,,,Engenharia de Sistemas e Computação,Mestrado,1
1973,Dez,,,Engenharia de Transportes,Doutorado,1
1973,Dez,,,Engenharia Química,Mestrado,1
1973,Fev,,,Engenharia Civil,Doutorado,1
1973,Fev,,,Engenharia Civil,Mestrado,1
1973,Fev,,,Engenharia de Produção,Mestrado,2
1973,Fev,,,Engenharia de Sistemas e Computação,Doutorado,2
1973,Fev,,,Engenharia Elétrica,Doutorado,1
1973,Fev,,,Engenharia Mecânica,Doutorado,1
1973,Fev,,,Engenharia Química,Mestrado,1
1973,Jan,,,Engenharia Civil,Doutorado,2
1973,Jan,,,Engenharia Civil,Mestrado,3
1973,Jan,,,Engenharia de Produção,Mestrado,1
1973,Jan,,,Engenharia de Sistemas e Computação,Doutorado,4
1973,Jan,,,Engenharia Elétrica,Mestrado,1
1973,Jan,,,Engenharia Mecânica,Doutorado,1
1973,Jan,,,Engenharia Mecânica,Mestrado,2
1973,Jan,,,Engenharia Metalúrgica e de Materiais,Mestrado,1
1973,Jan,,,Engenharia Oceânica,Mestrado,1
1973,Jan,,,Engenharia Química,Doutorado,1
1973,Jul,,,Engenharia Civil,Doutorado,1
1973,Jun,,,Engenharia Biomédica,Mestrado,2
1973,Jun,,,Engenharia Civil,Mestrado,1
1973,Jun,,,Engenharia de Sistemas e Computação,Doutorado,1
1973,Jun,,,Engenharia Mecânica,Mestrado,1
1973,Mai,,,Engenharia Biomédica,Mestrado,1
1973,Mai,,,Engenharia Civil,Doutorado,1
1973,Mai,,,Engenharia Civil,Mestrado,2
1973,Mai,,,Engenharia de Produção,Mestrado,4
1973,Mai,,,Engenharia de Transportes,Doutorado,1
1973,Mai,,,Engenharia Nuclear,Mestrado,1
1973,Mar,,,Engenharia Civil,Mestrado,2
1973,Mar,,,Engenharia de Produção,Mestrado,3
1973,Mar,,,Engenharia Elétrica,Mestrado,1
1973,Mar,,,Engenharia Mecânica,Mestrado,1
1973,Mar,,,Engenharia Nuclear,Doutorado,1
1973,Mar,,,Engenharia Nuclear,Mestrado,5
1973,Mar,,,Engenharia Química,Mestrado,1
1973,Nov,,,Engenharia Biomédica,Mestrado,1
1973,Nov,,,Engenharia Civil,Doutorado,1
1973,Nov,,,Engenharia Civil,Mestrado,2
1973,Nov,,,Engenharia de Produção,Mestrado,1
1973,Nov,,,Engenharia de Sistemas e Computação,Doutorado,2
1973,Nov,,,Engenharia de Sistemas e Computação,Mestrado,4
1973,Nov,,,Engenharia Mecânica,Mestrado,2
1973,Nov,,,Engenharia Nuclear,Mestrado,2
1973,Nov,,,Engenharia Química,Doutorado,1
1973,Nov,,,Engenharia Química,Mestrado,2
1973,Out,,,Engenharia Biomédica,Mestrado,1
1973,Out,,,Engenharia de Produção,Doutorado,1
1973,Out,,,Engenharia de Sistemas e Computação,Mestrado,2
1973,Out,,,Engenharia Mecânica,Mestrado,1
1973,Out,,,Engenharia Metalúrgica e de Materiais,Doutorado,1
1973,Out,,,Engenharia Nuclear,Mestrado,2
1973,Out,,,Engenharia Oceânica,Mestrado,1
1973,Out,,,Engenharia Química,Doutorado,1
1973,Set,,,Engenharia Civil,Mestrado,1
1973,Set,,,Engenharia de Sistemas e Computação,Mestrado,2
1973,Set,,,Engenharia Metalúrgica e de Materiais,Doutorado,1
1973,Set,,,Engenharia Química,Mestrado,1
1978,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,13
1978,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,26
1979,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,47
1979,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,52
1980,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,58
1980,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,32
1981,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,63
1981,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,33
1982,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,40
1982,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,55
1983,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,49
1983,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,22
1984,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,17
1984,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,44
1985,1,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,28
1985,2,Centro de Ciências Jurídicas e Econômicas (CCJE),Faculdade de Administração e Ciências Contábeis (FACC),Administração,Graduação,29
1974,Abr,,,Engenharia Civil,Mestrado,1
1974,Abr,,,Engenharia de Produção,Doutorado,1
1974,Abr,,,Engenharia de Produção,Mestrado,2
1974,Abr,,,Engenharia de Sistemas e Computação,Mestrado,2
1974,Abr,,,Engenharia Mecânica,Mestrado,2
1974,Ago,,,Engenharia Civil,Doutorado,2
1974,Ago,,,Engenharia Civil,Mestrado,1
1974,Ago,,,Engenharia de Produção,Doutorado,1
1974,Ago,,,Engenharia de Produção,Mestrado,4
1974,Ago,,,Engenharia de Sistemas e Computação,Mestrado,1
1974,Dez,,,Engenharia Civil,Mestrado,1
1974,Dez,,,Engenharia de Produção,Mestrado,3
1974,Dez,,,Engenharia de Sistemas e Computação,Mestrado,2
1974,Dez,,,Engenharia Metalúrgica e de Materiais,Mestrado,2
1974,Dez,,,Planejamento Urbano e Regional  (Mestrado),Mestrado,1
1974,Fev,,,Engenharia Civil,Mestrado,1
1974,Fev,,,Engenharia de Produção,Mestrado,1
1974,Fev,,,Engenharia Metalúrgica e de Materiais,Mestrado,1
1974,Fev,,,Engenharia Nuclear,Mestrado,2
1974,Jan,,,Engenharia Civil,Doutorado,2
1974,Jan,,,Engenharia de Produção,Mestrado,1
1974,Jan,,,Engenharia de Sistemas e Computação,Mestrado,3
1974,Jan,,,Engenharia Elétrica,Mestrado,4
1974,Jan,,,Engenharia Nuclear,Mestrado,2
1974,Jan,,,Engenharia Química,Doutorado,1
1974,Jan,,,Engenharia Química,Mestrado,3
1974,Jul,,,Engenharia Civil,Mestrado,6
1974,Jul,,,Engenharia de Produção,Mestrado,1
1974,Jul,,,Engenharia de Sistemas e Computação,Mestrado,2
1974,Jul,,,Engenharia Nuclear,Mestrado,1
1974,Jul,,,Engenharia Oceânica,Mestrado,1
1974,Jul,,,Planejamento Urbano e Regional  (Mestrado),Mestrado,1
1974,Jun,,,Economia da Indústria e da Tecnologia,Doutorado,1
1974,Jun,,,Engenharia Civil,Doutorado,1
1974,Jun,,,Engenharia Civil,Mestrado,1
1974,Jun,,,Engenharia de Produção,Mestrado,1
1974,Jun,,,Engenharia de Sistemas e Computação,Mestrado,1
1974,Jun,,,Engenharia Mecânica,Doutorado,1
1974,Jun,,,Engenharia Mecânica,Mestrado,1
1974,Jun,,,Engenharia Química,Mestrado,1
1974,Mai,,,Engenharia Civil,Doutorado,1
1974,Mai,,,Engenharia de Produção,Mestrado,1
1974,Mai,,,Engenharia de Sistemas e Computação,Doutorado,1
1974,Mai,,,Engenharia Mecânica,Mestrado,1
1974,Mai,,,Engenharia Nuclear,Mestrado,1
1974,Mar,,,Engenharia Biomédica,Mestrado,1
1974,Mar,,,Engenharia Civil,Doutorado,2
1974,Mar,,,Engenharia Civil,Mestrado,1
1974,Mar,,,Engenharia de Produção,Mestrado,3
1974,Mar,,,Engenharia Mecânica,Mestrado,1
1974,Mar,,,Engenharia Metalúrgica e de Materiais,Mestrado,3
1974,Mar,,,Engenharia Nuclear,Mestrado,1
1974,Mar,,,Engenharia Química,Doutorado,1
1974,Mar,,,Engenharia Química,Mestrado,3
1974,Nov,,,Engenharia Civil,Mestrado,1
1974,Nov,,,Engenharia de Produção,Mestrado,1
1974,Nov,,,Engenharia de Sistemas e Computação,Mestrado,1
