CO_ANO,LOCALIES,CO_CURSO,NO_CURSO,GRAU_ACADEMICO,NO_NIVEL,NO_LOCAL_OFERTA,TOTALALUNOS,VAGAST,MATT,CONCLT,INGR,MATTRANC,MATDESVINCULADA,MATTRANSFERIDO,MATFALECIDO
2015,Capital,14332,QUÍMICA,Bacharelado,Graduação Presencial,Cidade Universitária,345,61,249,16,54,23,31,42,0
2016,Capital,14332,QUÍMICA,Bacharelado,Graduação Presencial,Cidade Universitária,307,54,243,27,51,38,23,3,0
2017,Capital,14332,QUÍMICA,Bacharelado,Graduação Presencial,Cidade Universitária,307,64,254,48,53,25,23,5,0
2018,Capital,14332,QUÍMICA,Bacharelado,Graduação Presencial,Cidade Universitária,284,73,224,17,52,19,32,9,0
2014,Capital,29307,FÍSICA MÉDICA,Bacharelado,Graduação Presencial,Cidade Universitária,70,40,54,3,22,6,10,0,0
2015,Capital,29307,FÍSICA MÉDICA,Bacharelado,Graduação Presencial,Cidade Universitária,79,22,57,2,22,14,6,2,0
2016,Capital,29307,FÍSICA MÉDICA,Bacharelado,Graduação Presencial,Cidade Universitária,88,23,55,5,20,23,10,0,0
2017,Capital,29307,FÍSICA MÉDICA,Bacharelado,Graduação Presencial,Cidade Universitária,99,31,66,7,25,20,13,0,0
2018,Capital,29307,FÍSICA MÉDICA,Bacharelado,Graduação Presencial,Cidade Universitária,110,45,82,6,31,7,20,1,0
2014,Capital,44363,FÍSICA,Licenciatura,Graduação Presencial,Cidade Universitária,349,126,206,12,75,56,81,6,0
2015,Capital,44363,FÍSICA,Licenciatura,Graduação Presencial,Cidade Universitária,346,99,217,14,76,63,61,5,0
2016,Capital,44363,FÍSICA,Licenciatura,Graduação Presencial,Cidade Universitária,333,77,202,19,67,74,53,4,0
2017,Capital,44363,FÍSICA,Licenciatura,Graduação Presencial,Cidade Universitária,342,101,230,9,79,68,38,6,0
2018,Capital,44363,FÍSICA,Licenciatura,Graduação Presencial,Cidade Universitária,366,93,238,12,73,60,64,4,0
2014,Capital,45204,QUÍMICA,Licenciatura,Graduação Presencial,Cidade Universitária,313,87,209,11,67,24,72,8,0
2015,Capital,45204,QUÍMICA,Licenciatura,Graduação Presencial,Cidade Universitária,313,95,221,13,70,36,53,3,0
2016,Capital,45204,QUÍMICA,Licenciatura,Graduação Presencial,Cidade Universitária,316,76,219,12,65,59,37,1,0
2017,Capital,45204,QUÍMICA,Licenciatura,Graduação Presencial,Cidade Universitária,338,75,231,16,64,64,43,0,0
2018,Capital,45204,QUÍMICA,Licenciatura,Graduação Presencial,Cidade Universitária,355,96,233,23,73,56,61,5,0
2014,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,,0,775,0,0,0,0,0,0,0
2014,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - ANGRA DOS REIS,80,0,43,0,20,19,18,0,0
2014,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,Consórcio CEDERJ - Duque de Caxias,251,0,147,2,72,47,57,0,0
2014,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - ITAPERUNA,85,0,51,1,19,14,20,0,0
2014,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - MACAÉ - UNED MACAÉ - CEFET,109,0,50,0,21,23,36,0,0
2014,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - NOVA IGUAÇU - PÓLO DO CEDERJ (ANTIGO FÓRUM),263,0,167,2,67,55,41,0,0
2014,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - PARACAMBI - CENTRO TECNOLÓGICO UNIVERSITÁRIO DE PARACAMBI,128,0,74,1,21,18,36,0,0
2014,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - CAMPO GRANDE - INST DE EDUC SARA KUBITSCHEK,267,0,166,2,66,48,53,0,0
2014,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,Polo UAB - SAO GONCALO,178,0,100,0,56,31,47,0,0
2014,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - TRÊS RIOS - ESCOLA MUNICIPAL WALTER FRANKLIN,101,0,45,4,10,11,45,0,0
2014,Capital,63486,FÍSICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - VOLTA REDONDA - PÓLO PROFESSOR DARCY RIBEIRO,146,0,78,2,45,27,41,0,0
