ano,periodo,Centro,Faculdade/ Escola,curso,nivel,QTD-ingressante
1985,2,,,Ciência e Tecnologia de Polímeros,Mestrado,3
1994,2,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,42
1985,2,,,Ciências Biológicas (Biofísica),Doutorado,5
1985,2,,,Ciências Biológicas (Genética),Mestrado,1
1995,1,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,37
1995,2,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,39
1996,1,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,42
1996,2,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,38
1997,1,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,37
1997,2,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,36
1998,1,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,52
1998,2,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,38
1999,1,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,37
1985,2,,,Comunicação,Mestrado,1
1999,2,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,44
2000,1,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,38
2000,2,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,39
2001,1,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,4
2001,2,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,3
2002,1,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,3
2002,2,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,1
1985,2,Centro de Ciências da Saúde (CCS),Escola de Enfermagem Anna Nery ,Enfermagem,Mestrado,22
2003,1,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,2
2004,1,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,2
2005,1,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,1
2006,2,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,2
2007,1,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,1
2007,2,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,2
2008,1,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,4
1985,2,,,Engenharia Mecânica,Doutorado,1
1985,2,,,Engenharia Mecânica,Mestrado,1
1985,2,,,Engenharia Metalúrgica e de Materiais,Doutorado,2
1985,2,,,Engenharia Metalúrgica e de Materiais,Mestrado,5
1985,2,,,Engenharia Oceânica,Mestrado,1
2008,2,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,2
2009,1,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,6
2009,2,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,1
2010,1,Centro de Filosofia e Ciências Humanas (CFCH),Escola de Comunicação (ECO),Comunicação Social - Jornalismo,Graduação,1
1985,2,,,Física,Doutorado,3
1985,2,,,Fisica,Mestrado,3
