CO_ANO,CO_IES,NO_IES,SG_IES,MANT,MANTENEDORA,NU_CNPJ,ORG,NOMEORG,COREDE,rede,CO_DEP,DEPADM,DEP5,DEPADM5,REGIES,REGIAOIES,COUFIES,NOMEUFIES,SIGLAUFIES,MUNICIPIOIES,COMUNICIES,COMUNICIES12,LOCIES,  ,CO_CURSO,NO_CURSO,REG,NO_REGIAO,COUF,NO_UF,SIGLAUF,MUNICIPIO,CO_MUNICIPIO,COMUNICIPIO12,CO_MUNICIPIO_12,LOC,LOCAL,CO_CINE_AREA_GERAL,NO_CINE_AREA_GERAL,CO_CINE_AREA_ESPECIFICA,NO_CINE_AREA_ESPECIFICA,CO_CINE_AREA_DETALHADA,NO_CINE_AREA_DETALHADA,CO_CINE_ROTULO,NO_CINE_ROTULO,CO_GRAU_ACADEMICO,GRAU_ACADEMICO,NIVEL,NO_NIVEL,UNIDFUNC,NO_LOCAL_OFERTA,CO_CURSO_POLO,TOTALALUNOS,NCURSO,VAGAST,VAGNOVAS,VAGNOVASD,VAGNOVASDM,VAGNOVASDV,VAGNOVASN,VAGNOVASINT,VAGESP,VAGESPD,VAGESPDM,VAGESPDV,VAGESPN,VAGESPINT,VAGREMANESC,VAGREMANESCD,VAGREMANESCDM,VAGREMANESCDV,VAGREMANESCN,VAGREMANESCINT,INSCRITOST,INSCRNOVAS,INSCRNOVASD,INSCRNOVASDM,INSCRNOVASDV,INSCRNOVASN,INSCRNOVASINT,INSCRESP,INSCRESPD,INSCRESPDM,INSCRESPDV,INSCRESPN,INSCRESPINT,INSCRREMANESC,INSCRREMANESCD,INSCRREMANESCDM,INSCRREMANESCDV,INSCRREMANESCN,INSCRREMANESCINT,MATT,MATF,MATM,MATD,MATDM,MATDV,MATN,MATINT,MATE18,MATE18F,MATE18M,M19A24,M19A24F,M19A24M,M25A29,M25A29F,M25A29M,M30A34,M30A34F,M30A34M,M35A39,M35A39F,M35A39M,M40A44,M40A44F,M40A44M,M45A49,M45A49F,M45A49M,M50A54,M50A54F,M50A54M,M55A59,M55A59F,M55A59M,M60A64,M60A64F,M60A64M,M65OUMAIS,M65OUMAISF,M65OUMAISM,MMENOR18,M18,M19,M20,M21,M22,M23,M24,MMAIS20,MMAIS24,M30,MMAIS30,M40,MMAIS40,M50,MMAIS50,M60,MMAIS60,MMAIS60F,M60A69,M60A69F,M70,M70A79,M70A79F,M80,M80OUMAIS,M80OUMAISF,M90,M90OUMAIS,M90OUMAISF,MATE39,MATE39F,M4049,M4049F,M5059,M5059F,M65A69,M65A69F,MBRANCA,MBRANCAF,MPRETA,MPRETAF,MPARDA,MPARDAF,MAMARELA,MAMARELAF,MINDIGENA,MINDIGENAF,MNDI,MNDIF,MND,MNDF,CONCLT,CONCL1S,CONCL2S,CONCLTF,CONCLTM,CONCLD,CONCLDM,CONCLDV,CONCLN,CONCLINT,CATE18,CATE18F,CATE18M,C19A24,C19A24F,C19A24M,C25A29,C25A29F,C25A29M,C30A34,C30A34F,C30A34M,C35A39,C35A39F,C35A39M,C40A44,C40A44F,C40A44M,C45A49,C45A49F,C45A49M,C50A54,C50A54F,C50A54M,C55A59,C55A59F,C55A59M,C60A64,C60A64F,C60A64M,C65OUMAIS,C65OUMAISF,C65OUMAISM,CMENOR18,C18,C19,C20,C21,C22,C23,C24,CMAIS20,CMAIS24,C30,CMAIS30,C40,CMAIS40,C50,CMAIS50,C60,CMAIS60,CMAIS60F,C60A69,C60A69F,C70,C70A79,C70A79F,C80,C80OUMAIS,C80OUMAISF,C90,C90OUMAIS,C90OUMAISF,CATE39,CATE39F,C4049,C4049F,C5059,C5059F,C65A69,C65A69F,CBRANCA,CBRANCAF,CPRETA,CPRETAF,CPARDA,CPARDAF,CAMARELA,CAMARELAF,CINDIGENA,CINDIGENAF,CNDI,CNDIF,CND,CNDF,INGR,INGR1S,INGR2S,INGRF,INGRM,INGRD,INGRDM,INGRDV,INGRN,INGRINT,IATE18,IATE18F,IATE18M,I19A24,I19A24F,I19A24M,I25A29,I25A29F,I25A29M,I30A34,I30A34F,I30A34M,I35A39,I35A39F,I35A39M,I40A44,I40A44F,I40A44M,I45A49,I45A49F,I45A49M,I50A54,I50A54F,I50A54M,I55A59,I55A59F,I55A59M,I60A64,I60A64F,I60A64M,I65OUMAIS,I65OUMAISF,I65OUMAISM,IMENOR18,I18,I19,I20,I21,I22,I23,I24,IMAIS20,IMAIS24,I30,IMAIS30,I40,IMAIS40,I50,IMAIS50,I60,IMAIS60,IMAIS60F,I60A69,I60A69F,I70,I70A79,I70A79F,I80,I80OUMAIS,I80OUMAISF,I90,I90OUMAIS,I90OUMAISF,IATE39,IATE39F,I4049,I4049F,I5059,I5059F,I65A69,I65A69F,INGRNOVAS,INGRNOVAS1S,INGRNOVAS2S,INGRNOVASF,INGRNOVASM,INGRNOVASD,INGRNOVASDM,INGRNOVASDV,INGRNOVASN,INGRNOVASINT,INGRVESTENEM,INGROUTROSTIPOS,INGRVEST,INGRVEST1S,INGRVEST2S,INGRVESTF,INGRVESTM,INGRVESTD,INGRVESTDM,INGRVESTDV,INGRVESTN,INGRVESTINT,INGRSOVEST,INGRSOVEST1S,INGRSOVEST2S,INGRENEM,INGRENEM1S,INGRENEM2S,INGRENEMF,INGRENEMM,INGRENEMD,INGRENEMDM,INGRENEMDV,INGRENEMN,INGRENEMINT,INGRSOENEM,INGRSOENEM1S,INGRSOENEM2S,INGRAVSER,INGRAVSER1S,INGRAVSER2S,INGRAVSERF,INGRAVSERM,INGRAVSERD,INGRAVSERDM,INGRAVSERDV,INGRAVSERN,INGRAVSERINT,INGRSOAVSER,INGRSOAVSER1S,INGRSOAVSER2S,INGRSIMP,INGRSIMP1S,INGRSIMP2S,INGRSIMPF,INGRSIMPM,INGRSIMPD,INGRSIMPDM,INGRSIMPDV,INGRSIMPN,INGRSIMPINT,INGREGR,INGREGR1S,INGREGR2S,INGREGRF,INGREGRM,INGREGRD,INGREGRDM,INGREGRDV,INGREGRN,INGREGRINT,INGRESP,INGRESP1S,INGRESP2S,INGRESPF,INGRESPM,INGRESPD,INGRESPDM,INGRESPDV,INGRESPN,INGRESPINT,INGRREMANESC,INGRREMANESC1S,INGRREMANESC2S,INGRREMANESCF,INGRREMANESCM,INGRREMANESCD,INGRREMANESCDM,INGRREMANESCDV,INGRREMANESCN,INGRREMANESCINT,INGROF,INGROF1S,INGROF2S,INGROFF,INGROFM,INGROFD,INGROFDM,INGROFDV,INGROFN,INGROFINT,INGREXOFFICIO,INGREXOFFICIO1S,INGREXOFFICIO2S,INGREXOFFICIOF,INGREXOFFICIOM,INGREXOFFICIOD,INGREXOFFICIODM,INGREXOFFICIODV,INGREXOFFICION,INGREXOFFICIOINT,INGRCONVPECG,INGRCONVPECG1S,INGRCONVPECG2S,INGRCONVPECGF,INGRCONVPECGM,INGRCONVPECGD,INGRCONVPECGDM,INGRCONVPECGDV,INGRCONVPECGN,INGRCONVPECGINT,INGRDECJUD,INGRDECJUD1S,INGRDECJUD2S,INGRDECJUDF,INGRDECJUDM,INGRDECJUDD,INGRDECJUDDM,INGRDECJUDDV,INGRDECJUDN,INGRDECJUDINT,IBRANCA,IBRANCAF,IPRETA,IPRETAF,IPARDA,IPARDAF,IAMARELA,IAMARELAF,IINDIGENA,IINDIGENAF,INDI,INDIF,IND,INDF,MATTRANC,MATTRANCF,MATTRANCM,MATDESVINCULADA,MATDESVINCULADAF,MATDESVINCULADAM,MATTRANSFERIDO,MATTRANSFERIDOF,MATTRANSFERIDOM,MATFALECIDO,MATFALECIDOF,MATFALECIDOM,ALUNO_PARFOR,MALUNO_PARFOR,CALUNO_PARFOR,IALUNO_PARFOR,NACBRAS,MNACBRAS,CNACBRAS,INACBRAS,NACBRASNAT,MNACBRASNAT,CNACBRASNAT,INACBRASNAT,NACESTRANG,MNACESTRANG,CNACESTRANG,INACESTRANG,ALUNO_DEFICIENTE,MATALESP,MATALESPF,MATALESPM,MATALNESP,MEETOTAL,MCEGUEIRA,MCEGUEIRAF,MCEGUEIRAM,MBAIXAVISAO,MBAIXAVISAOF,MBAIXAVISAOM,MSURDEZ,MSURDEZF,MSURDEZM,MAUDITIVA,MAUDITIVAF,MAUDITIVAM,MFISICA,MFISICAF,MFISICAM,MSURDOCEGUEIRA,MSURDOCEGUEIRAF,MSURDOCEGUEIRAM,MMULTIPLA,MMULTIPLAF,MMULTIPLAM,MMENTAL,MMENTALF,MMENTALM,MAUTISMO,MAUTISMOF,MAUTISMOM,MASPERGER,MASPERGERF,MASPERGERM,MRETT,MRETTF,MRETTM,MTD,MTDF,MTDM,MSUPERDOTACAO,MSUPERDOTACAOF,MSUPERDOTACAOM,CONCLTALESP,CONCLTALESPF,CONCLTALESPM,CEETOTAL,CCEGUEIRA,CCEGUEIRAF,CCEGUEIRAM,CBAIXAVISAO,CBAIXAVISAOF,CBAIXAVISAOM,CSURDEZ,CSURDEZF,CSURDEZM,CAUDITIVA,CAUDITIVAF,CAUDITIVAM,CFISICA,CFISICAF,CFISICAM,CSURDOCEGUEIRA,CSURDOCEGUEIRAF,CSURDOCEGUEIRAM,CMULTIPLA,CMULTIPLAF,CMULTIPLAM,CMENTAL,CMENTALF,CMENTALM,CAUTISMO,CAUTISMOF,CAUTISMOM,CASPERGER,CASPERGERF,CASPERGERM,CRETT,CRETTF,CRETTM,CTD,CTDF,CTDM,CSUPERDOTACAO,CSUPERDOTACAOF,CSUPERDOTACAOM,INGRTALESP,INGRTALESPF,INGRTALESPM,IEETOTAL,ICEGUEIRA,ICEGUEIRAF,ICEGUEIRAM,IBAIXAVISAO,IBAIXAVISAOF,IBAIXAVISAOM,ISURDEZ,ISURDEZF,ISURDEZM,IAUDITIVA,IAUDITIVAF,IAUDITIVAM,IFISICA,IFISICAF,IFISICAM,ISURDOCEGUEIRA,ISURDOCEGUEIRAF,ISURDOCEGUEIRAM,IMULTIPLA,IMULTIPLAF,IMULTIPLAM,IMENTAL,IMENTALF,IMENTALM,IAUTISMO,IAUTISMOF,IAUTISMOM,IASPERGER,IASPERGERF,IASPERGERM,IRETT,IRETTF,IRETTM,ITD,ITDF,ITDM,ISUPERDOTACAO,ISUPERDOTACAOF,ISUPERDOTACAOM,MATTRANCALESP,MATTRANCALESPF,MATTRANCALESPM,MATTRANCEETOTAL,MTCEGUEIRA,MTBAIXAVISAO,MTSURDEZ,MTAUDITIVA,MTFISICA,MTSURDOCEGUEIRA,MTMULTIPLA,MTMENTAL,MTAUTISMO,MTASPERGER,MTRETT,MTTD,MTSUPERDOTACAO,MATDESVINCULADAALESP,MATDESVINCULADAALESPF,MATDESVINCULADAALESPM,MATDESVINCULADAEETOTAL,MDCEGUEIRA,MDBAIXAVISAO,MDSURDEZ,MDAUDITIVA,MDFISICA,MDSURDOCEGUEIRA,MDMULTIPLA,MDMENTAL,MDAUTISMO,MDASPERGER,MDRETT,MDTD,MDSUPERDOTACAO,MATTRANSFERIDOALESP,MATTRANSFERIDOALESPF,MATTRANSFERIDOALESPM,MATTRANSFERIDOEETOTAL,MTRCEGUEIRA,MTRBAIXAVISAO,MTRSURDEZ,MTRAUDITIVA,MTRFISICA,MTRSURDOCEGUEIRA,MTRMULTIPLA,MTRMENTAL,MTRAUTISMO,MTRASPERGER,MTRRETT,MTRTD,MTRSUPERDOTACAO,MATFALECIDOALESP,MATFALECIDOALESPF,MATFALECIDOALESPM,MATFALECIDOEETOTAL,MFCEGUEIRA,MFBAIXAVISAO,MFSURDEZ,MFAUDITIVA,MFFISICA,MFSURDOCEGUEIRA,MFMULTIPLA,MFMENTAL,MFAUTISMO,MFASPERGER,MFRETT,MFTD,MFSUPERDOTACAO,ALUNO_FINANCIAMENTO,MATFINANC,CONCLTFINANC,INGRFINANC,RFIES,RPFGE,RPFGM,RPFIES,RPFEE,MRFIES,IRFIES,CRFIES,MRPFGE,MRPFGM,MRPFIES,MRPFEE,CRPFGE,CRPFGM,CRPFIES,CRPFEE,IRPFGE,IRPFGM,IRPFIES,IRPFEE,NRPROUNI,NRPROUNIINT,NRPROUNIPARC,NRPGE,NRPGM,NRPFIES,NRPFEE,MPROUNI,MPROUNII,MPROUNIP,CPROUNI,CPROUNII,CPROUNIP,IPROUNI,IPROUNII,IPROUNIP,MNRPGE,MNRPGM,MNRPFIES,MNRPFEE,CNRPGE,CNRPGM,CNRPFIES,CNRPFEE,INRPGE,INRPGM,INRPFIES,INRPFEE,ALUNO_RESERVA_VAGA,MAT_RESERVA_VAGA,CONCLT_RESERVA_VAGA,INGR_RESERVA_VAGA,VREDEPUBLICA,VETINICO,VPDEF,VSOCIAL_RF,VOUTROS,MVREDEPUBLICA,MVETINICO,MVPDEF,MVSOCIAL_RF,MVOUTROS,CVREDEPUBLICA,CVETINICO,CVPDEF,CVSOCIAL_RF,CVOUTROS,IVREDEPUBLICA,IVETINICO,IVPDEF,IVSOCIAL_RF,IVOUTROS,ALUNO_APOIO_SOCIAL,AS_ALIMENTACAO,AS_MORADIA,AS_TRANSPORTE,AS_MATDIDATICO,AS_BOLSATRAB,AS_BOLSAPERM,ALUNO_EXTRA_CURRICULAR,ACPESQUISA,ACEXTENSAO,ACMONITORIA,ACESTAGIO,BOLSAPESQUISA,BOLSAEXTENSAO,BOLSAMONITORIA,BOLESTAGIO,MBOLSATRAB,MBOLSAPERM,MBOLSAPESQUISA,MBOLSAEXTENSAO,MBOLSAMONITORIA,MBOLSAESTAGIO,PROCEDUCPUBLICA,PROCEDUCPRIVADA,PROCNAOINFORMADA,MPROCEDUCPUBLICA,IPROCEDUCPUBLICA,CPROCEDUCPUBLICA,MPROCEDUCPRIVADA,IPROCEDUCPRIVADA,CPROCEDUCPRIVADA,MPROCNAOINFORMADA,IPROCNAOINFORMADA,CPROCNAOINFORMADA,NU_CARGA_HORARIA,AJUDA_DEFICIENTE,CO_NIVEL_ACADEMICO,CO_MODALIDADE_ENSINO,TP_ATRIBUTO_INGRESSO,ATRIBUTO_INGRESSO,CURSOGRATUITO
2014,586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,15536,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,33663683000116,1,Universidade,1,Pública,1,Federal,1,Federal,3,Sudeste,33,Rio de Janeiro,RJ,Rio de Janeiro,3304557,330601804557,1,Capital,14323,FÍSICA,3,Sudeste,33,Rio de Janeiro,RJ,Rio de Janeiro,3304557,330601804557,330601804557,1,Capital,5,"Ciências naturais, matemática e estatística",53,Ciências físicas,533,Física,0533F01,Física,1,Bacharelado,1GRADP,Graduação Presencial,657978,Cidade Universitária,,178,1,72,40,40,0,0,0,40,0,0,0,0,0,0,32,32,0,0,0,32,557,528,528,0,0,0,528,0,0,0,0,0,0,29,29,0,0,0,29,123,36,87,123,0,0,0,123,8,4,4,97,27,70,11,5,6,6,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8,19,24,14,16,16,8,72,18,2,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,15,4,2,23,8,0,0,0,0,1,1,30,10,11,10,1,4,7,11,0,0,0,11,0,0,0,10,3,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,1,1,0,0,0,0,0,0,3,2,50,43,7,18,32,50,0,0,0,50,12,4,8,34,14,20,3,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,7,6,4,3,0,17,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,0,11,28,39,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,0,11,28,39,0,0,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,7,6,4,10,0,0,0,10,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,1,1,15,5,0,0,0,0,0,0,17,5,20,6,14,29,4,25,6,4,2,0,0,0,0,0,0,0,178,123,11,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,41,18,0,15,0,25,12,0,9,0,0,0,0,0,0,21,13,0,10,0,178,178,1,178,0,0,23,18,1,3,14,0,1,3,14,0,0,0,0,0,0,0,70,54,54,45,31,0,39,19,2,39,0,9,2465,1,1,1,0,Normal,1
2015,586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,15536,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,33663683000116,1,Universidade,1,Pública,1,Federal,1,Federal,3,Sudeste,33,Rio de Janeiro,RJ,Rio de Janeiro,3304557,330601804557,1,Capital,14323,FÍSICA,3,Sudeste,33,Rio de Janeiro,RJ,Rio de Janeiro,3304557,330601804557,330601804557,1,Capital,5,"Ciências naturais, matemática e estatística",53,Ciências físicas,533,Física,0533F01,Física,1,Bacharelado,1GRADP,Graduação Presencial,657978,Cidade Universitária,,184,1,53,40,40,0,0,0,40,0,0,0,0,0,0,13,13,0,0,0,13,521,509,509,0,0,0,509,0,0,0,0,0,0,12,12,0,0,0,12,133,39,94,133,0,0,0,133,13,2,11,101,31,70,11,5,6,6,1,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,18,23,23,12,15,10,79,19,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,39,0,0,0,0,0,0,64,20,4,1,26,9,1,0,1,0,0,0,37,9,17,17,0,6,11,17,0,0,0,17,0,0,0,12,3,9,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,0,0,0,0,0,0,10,4,1,0,1,1,0,0,0,0,0,0,5,1,46,44,2,13,33,46,0,0,0,46,15,3,12,29,9,20,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,11,8,8,2,0,0,12,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,13,0,0,0,0,0,0,40,40,0,9,31,40,0,0,0,40,40,6,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,9,31,40,0,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,4,2,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,1,0,12,5,1,0,1,0,0,0,20,4,21,7,14,26,5,21,4,2,2,0,0,0,0,0,0,0,184,133,17,46,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,53,26,0,22,0,36,18,0,15,0,0,0,0,0,0,21,12,0,10,0,184,184,0,184,0,0,13,20,0,4,16,0,0,4,7,0,0,9,0,2,7,0,79,70,35,56,24,1,53,22,3,24,0,13,2465,1,1,1,0,Normal,1
2016,586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,15536,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,33663683000116,1,Universidade,1,Pública,1,Federal,1,Federal,3,Sudeste,33,Rio de Janeiro,RJ,Rio de Janeiro,3304557,330601804557,1,Capital,14323,FÍSICA,3,Sudeste,33,Rio de Janeiro,RJ,Rio de Janeiro,3304557,330601804557,330601804557,1,Capital,5,"Ciências naturais, matemática e estatística",53,Ciências físicas,533,Física,0533F01,Física,1,Bacharelado,1GRADP,Graduação Presencial,657978,Cidade Universitária,,184,1,48,40,40,0,0,0,40,0,0,0,0,0,0,8,8,0,0,0,8,490,475,475,0,0,0,475,0,0,0,0,0,0,15,15,0,0,0,15,121,25,96,121,0,0,0,121,6,2,4,100,21,79,8,1,7,6,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,28,15,20,19,9,9,72,15,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,25,0,0,0,0,0,0,57,13,7,3,28,6,3,0,0,0,0,0,26,3,16,16,0,4,12,16,0,0,0,16,0,0,0,11,4,7,2,0,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,1,16,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0,0,0,0,11,2,0,0,1,0,0,0,0,0,0,0,4,2,47,43,4,9,38,47,0,0,0,47,8,3,5,36,6,30,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,8,23,5,4,3,0,1,11,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,9,0,0,1,0,0,0,39,39,0,9,30,39,0,0,0,39,39,8,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,0,9,30,39,0,0,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,0,8,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5,5,2,8,1,2,0,0,0,0,0,11,1,35,15,20,23,8,15,5,1,4,0,0,0,0,0,0,0,184,121,16,47,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,63,32,0,28,0,39,21,0,18,0,1,0,0,0,0,21,12,0,10,0,184,184,0,184,0,0,17,15,0,1,14,0,0,1,14,0,0,12,0,0,14,0,85,83,16,56,21,5,57,26,5,8,0,6,2465,1,1,1,0,Normal,1
